keyword,intent,funnel,primary_landing_page,current_rank,page_one,cta_goal,status,notes
visual intelligence apps,comparison,MOFU,https://kaleidofield.com/benchmarks/best-visual-intelligence-apps,unknown,unknown,benchmark_read,tracking,Own the category phrase with task-fit framing.
best visual intelligence apps,comparison,BOFU,https://kaleidofield.com/benchmarks/best-visual-intelligence-apps,unknown,unknown,benchmark_read,tracking,High-intent list query.
Google Lens alternative,comparison,BOFU,https://kaleidofield.com/guides/google-lens-alternatives-for-picture-questions,unknown,unknown,comparison_read,tracking,Dedicated BOFU alternatives page for task-fit app selection.
best Google Lens alternatives,comparison,BOFU,https://kaleidofield.com/guides/google-lens-alternatives-for-picture-questions,unknown,unknown,comparison_read,tracking,High-intent alternatives query.
Google Lens alternative for picture questions,comparison,BOFU,https://kaleidofield.com/guides/google-lens-alternatives-for-picture-questions,unknown,unknown,comparison_read,tracking,Plain-language query for image-first questions.
apps like Google Lens,comparison,BOFU,https://kaleidofield.com/guides/google-lens-alternatives-for-picture-questions,unknown,unknown,comparison_read,tracking,Common user-language alternative phrase.
Google Lens alternative for explanation,comparison,BOFU,https://kaleidofield.com/guides/google-lens-alternatives-for-picture-questions,unknown,unknown,comparison_read,tracking,Bridge from matching failure to visual reasoning.
Google Lens cannot identify this,problem,BOFU,https://kaleidofield.com/guides/google-lens-cannot-identify-this,unknown,unknown,guide_read,tracking,Real user failure phrase.
Google Lens not working for image search,problem,BOFU,https://kaleidofield.com/guides/google-lens-cannot-identify-this,unknown,unknown,guide_read,tracking,Failure recovery query.
how to search with a picture,how-to,TOFU,https://kaleidofield.com/guides/how-to-search-with-a-picture,unknown,unknown,guide_read,tracking,Broad evergreen query.
search with picture instead of words,how-to,TOFU,https://kaleidofield.com/guides/how-to-search-with-a-picture,unknown,unknown,guide_read,tracking,Plain language query.
best apps to identify things from pictures,comparison,BOFU,https://kaleidofield.com/guides/best-apps-to-identify-things-from-pictures,unknown,unknown,guide_read,tracking,Primary broad guide.
app to identify things from pictures,comparison,BOFU,https://kaleidofield.com/guides/best-apps-to-identify-things-from-pictures,unknown,unknown,guide_read,tracking,App recommendation query.
what app can tell me what this is,problem,BOFU,https://kaleidofield.com/guides/what-app-can-tell-me-what-this-is,unknown,unknown,guide_read,tracking,Most natural user-language query.
app that tells me what this is,problem,BOFU,https://kaleidofield.com/guides/what-app-can-tell-me-what-this-is,unknown,unknown,guide_read,tracking,Variant of primary query.
what is this style called,problem,MOFU,https://kaleidofield.com/guides/what-is-this-style-called,unknown,unknown,guide_read,tracking,Vocabulary gap query.
find style from picture,how-to,MOFU,https://kaleidofield.com/guides/what-is-this-style-called,unknown,unknown,guide_read,tracking,Style search query.
visual search vs visual reasoning,comparison,MOFU,https://kaleidofield.com/benchmarks/google-lens-vs-visual-reasoning,unknown,unknown,dataset_view,tracking,Category differentiation.
Google Lens vs visual reasoning,comparison,MOFU,https://kaleidofield.com/benchmarks/google-lens-vs-visual-reasoning,unknown,unknown,dataset_view,tracking,Competitor/category comparison.
AI lens apps,category,MOFU,https://kaleidofield.com/,unknown,unknown,front_page_read,tracking,Homepage category ownership.
